Rewards,[44.75014742 17.26701046 41.24022703  3.04313466]
Penalties,[ 6.27517732 30.15755115 26.96105075 21.521564  ]
defenderID,attackerID,Value(Defender payoff)
18,3,-7.518245588421697
18,4,-4.254553539518381
18,5,-4.254553539518381
18,6,-4.254553539518381
18,7,-4.254553539518381
18,8,-4.254553539518381
18,9,-4.254553539518381
18,10,23.228583421088018
18,11,23.228583421088018
18,12,23.228583421088018
18,13,23.228583421088018
18,14,23.228583421088018
18,15,23.228583421088018
18,16,-48.48261474672432
18,17,-33.23622806431069
0,18,34.965049712971336
1,18,34.965049712971336
2,18,34.965049712971336
3,18,34.965049712971336
4,18,34.965049712971336
5,18,34.965049712971336
6,18,34.965049712971336
7,18,34.965049712971336
8,18,34.965049712971336
9,18,70.68277702902988
10,18,-33.23622806431069
11,18,17.78909667291582
12,18,34.965049712971336
13,18,34.965049712971336
14,18,17.78909667291582
15,18,-33.23622806431069
16,18,-33.23622806431069
17,18,17.78909667291582
18,18,-33.23622806431069
19,0,5.571325924406943
19,1,12.94073552235093
19,2,20.310145120294923
19,3,-8.606142938056134
19,4,20.310145120294923
19,5,20.310145120294923
19,6,-1.7980836735370491
19,7,20.310145120294923
19,8,17.853675254313593
19,9,17.853675254313593
19,10,-3.232042656325184
19,11,-3.232042656325184
19,12,-3.232042656325184
19,13,-3.232042656325184
19,14,-3.232042656325184
19,15,-3.232042656325184
19,16,-48.48261474672432
19,17,-33.23622806431069
19,18,-33.23622806431069
0,19,34.965049712971336
1,19,34.965049712971336
2,19,85.99037445019782
3,19,85.99037445019782
4,19,34.965049712971336
5,19,34.965049712971336
6,19,45.17011466041663
7,19,34.965049712971336
8,19,34.965049712971336
9,19,31.429352228372228
10,19,17.78909667291582
11,19,17.78909667291582
12,19,34.965049712971336
13,19,17.78909667291582
14,19,-33.23622806431069
15,19,-33.23622806431069
16,19,-33.23622806431069
17,19,17.78909667291582
18,19,17.78909667291582
19,19,34.965049712971336
20,0,0.6583861924442814
20,1,17.853675254313593
20,2,20.310145120294923
20,3,-9.150091612873357
20,4,20.310145120294923
20,5,20.310145120294923
20,6,-4.254553539518381
20,7,20.310145120294923
20,8,17.853675254313593
20,9,20.310145120294923
20,10,-3.232042656325184
20,11,-3.232042656325184
20,12,-3.232042656325184
20,13,-3.232042656325184
20,14,-3.232042656325184
20,15,-3.232042656325184
20,16,-23.917916086911013
20,17,-33.23622806431069
20,18,-33.23622806431069
20,19,-33.23622806431069
0,20,34.965049712971336
1,20,34.965049712971336
2,20,85.99037445019782
3,20,85.99037445019782
4,20,34.965049712971336
5,20,34.965049712971336
6,20,60.477712081584585
7,20,34.965049712971336
8,20,34.965049712971336
9,20,31.429352228372228
10,20,17.78909667291582
11,20,17.78909667291582
12,20,34.965049712971336
13,20,17.78909667291582
14,20,-33.23622806431069
15,20,-33.23622806431069
16,20,-33.23622806431069
17,20,17.78909667291582
18,20,17.78909667291582
19,20,34.965049712971336
20,20,-33.23622806431069
21,0,-4.254553539518381
21,1,-4.254553539518381
21,2,-4.254553539518381
21,3,-9.150091612873357
21,4,-4.254553539518381
21,5,-4.254553539518381
21,6,-4.254553539518381
21,7,-4.254553539518381
21,8,-4.254553539518381
