Defender Mixed Utility,Attacker Mixed Utility,Defender Oracle Utility (Avg. Over Training),Attacker Oracle Utility (Avg. over training),Avg. Defender Oracle Utility vs Mixed,Defender Oracle Correctness vs perfect play,Avg Score of Best Defender Pure Strategy,Avg. Attacker Oracle Utility vs Mixed,Attacker Oracle Correctness vs perfect play,Avg Score of Best Attacker Pure Strategy,,,,Attacker Oracle Correctness vs perfect play,Defender Utility during attacker Oracle,,,,100
-28.39389195,28.39389195,-11.12020925,-15.27341733,-33.46264953,0.246666667,-19.09876783,24.55427977,16,34.62985708,,,,0.16,-24.55427977,,,,
-28.39389195,28.39389195,-9.877099366,-5.549503386,-38.37841766,0.423333333,-24.21569449,24.95825337,17,35.09919103,,,,0.17,-24.95825337,,,,
-28.39389195,28.39389195,-7.034360472,-16.33726959,-32.90513897,0.283333333,-23.92456239,25.28223355,18.3333333,33.05162848,,,,0.183333333,-25.28223355,,,,
-28.39389195,28.39389195,-10.04982175,-14.43996269,-37.7549031,0.313333333,-21.46972572,24.63055568,0,34.54267375,,,,0,-24.63055568,,,,
-28.39389195,28.39389195,-8.659041072,4.274397707,-30.67694532,0.323333333,-23.19509465,23.04103681,14.6666667,33.30542685,,,,0.146666667,-23.04103681,,,,
-28.39389195,28.39389195,-3.941962949,-14.17377347,-32.92192375,0.286666667,-27.42380225,23.06770128,16,32.65062501,,,,0.16,-23.06770128,,,,
-28.39389195,28.39389195,-11.76808949,-6.030291299,-35.04358741,0.37,-23.13179317,26.98212784,21.3333333,33.60493885,,,,0.213333333,-26.98212784,,,,
-28.39389195,28.39389195,-8.627867176,5.30926501,-36.53649652,0.3,-26.56949234,26.63557302,0,35.74582629,,,,0,-26.63557302,,,,
-28.39389195,28.39389195,-3.256534705,4.491482098,-39.26964714,0.263333333,-25.34989724,23.3383525,14.3333333,33.27426716,,,,0.143333333,-23.3383525,,,,
-28.39389195,28.39389195,-0.68521162,-16.34682206,-44.36766136,0.293333333,-23.37503539,24.06630628,16.3333333,33.42963882,,,,0.163333333,-24.06630628,,,,
-28.39389195,28.39389195,-3.115247751,-15.31781515,-35.88321433,0.366666667,-23.45370087,24.01297733,16,34.25463888,,,,0.16,-24.01297733,,,,
-28.39389195,28.39389195,-1.827061898,-6.522038345,-34.42011018,0.373333333,-25.25621248,25.90352942,17.6666667,32.55140402,,,,0.176666667,-25.90352942,,,,
-28.39389195,28.39389195,-10.52423839,3.51767248,-33.78264845,0.266666667,-24.01889271,25.28223355,16.3333333,34.87548888,,,,0.163333333,-25.28223355,,,,
-28.39389195,28.39389195,-7.26797255,-6.523046708,-33.60312184,0.276666667,-25.64137064,31.23687128,2.6666667,34.72612831,,,,0.026666667,-31.23687128,,,,
-28.39389195,28.39389195,-11.79839636,4.491208202,-36.68827392,0.453333333,-23.8986832,25.62282275,0.6666667,33.39847913,,,,0.006666667,-25.62282275,,,,
-28.39389195,28.39389195,-2.36379962,-16.23881152,-37.70568602,0.426666667,-21.83349301,21.88907707,0.3333333,34.2907462,,,,0.003333333,-21.88907707,,,,
-28.39389195,28.39389195,-5.945837841,3.685875734,-34.60327546,0.353333333,-25.38473401,31.61121027,1.3333333,35.5916636,,,,0.013333333,-31.61121027,,,,
-28.39389195,28.39389195,-2.379898472,-7.226009477,-36.54353713,0.44,-26.40715667,22.79705006,15.6666667,35.98866595,,,,0.156666667,-22.79705006,,,,
-28.39389195,28.39389195,-1.551780727,3.675766513,-37.30709597,0.3,-24.39893282,27.65450456,1,33.09095475,,,,0.01,-27.65450456,,,,
-28.39389195,28.39389195,-6.509227111,-15.36422248,-37.08204428,0.35,-23.46180388,30.03386088,2.6666667,35.05880129,,,,0.026666667,-30.03386088,,,,
-28.39389195,28.39389195,-8.958212781,-6.530986292,-31.90144868,0.28,-24.69779676,23.59114094,1.3333333,35.27048125,,,,0.013333333,-23.59114094,,,,
-28.39389195,28.39389195,-8.043363158,-6.296483671,-26.5805315,0.453333333,-23.18404426,24.22955222,0,34.39388212,,,,0,-24.22955222,,,,
-28.39389195,28.39389195,-7.744273365,2.704007727,-36.68796035,0.443333333,-21.22210332,23.36501698,14.6666667,33.77154185,,,,0.146666667,-23.36501698,,,,
-28.39389195,28.39389195,-7.500415711,-6.227369765,-37.90964524,0.426666667,-25.71429601,22.78102417,0.6666667,33.76231181,,,,0.006666667,-22.78102417,,,,
-28.39389195,28.39389195,-5.109015037,3.390311661,-34.95328245,0.463333333,-22.95310866,24.09297075,16.3333333,35.13958076,,,,0.163333333,-24.09297075,,,,
-28.39389195,28.39389195,-4.109244272,-5.510114714,-34.17028411,0.376666667,-25.18023131,22.33974751,14.6666667,34.24535805,,,,0.146666667,-22.33974751,,,,
