iteration,action list,network estimate list,action chosen
107,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.14762984216213226, 0.14762984216213226, 0.14762984216213226]","[0, 1, 0, 0]"
108,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.14692182838916779, 0.14692182838916779]","[0, 0, 1, 0]"
109,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.14613686501979828, 0.14613686501979828, 0.14613686501979828, 0.14613686501979828]","[1, 0, 0, 0]"
110,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.14536164700984955, 0.14536164700984955, 0.14536164700984955]","[0, 1, 0, 0]"
111,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.1445949822664261, 0.1445949822664261]","[0, 0, 1, 0]"
112,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.14392311871051788, 0.14392311871051788, 0.14392311871051788, 0.14392311871051788]","[1, 0, 0, 0]"
113,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.14333808422088623, 0.14333808422088623, 0.14333808422088623]","[0, 1, 0, 0]"
114,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.14266064763069153, 0.14266064763069153]","[0, 0, 1, 0]"
115,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.1420699656009674, 0.1420699656009674, 0.1420699656009674, 0.1420699656009674]","[1, 0, 0, 0]"
116,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.14146941900253296, 0.14146941900253296, 0.14146941900253296]","[0, 1, 0, 0]"
117,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.1408597230911255, 0.1408597230911255]","[0, 0, 1, 0]"
118,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.14015890657901764, 0.14015890657901764, 0.14015890657901764, 0.14015890657901764]","[1, 0, 0, 0]"
119,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.13937892019748688, 0.13937892019748688, 0.13937892019748688]","[0, 1, 0, 0]"
120,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.13860832154750824, 0.13860832154750824]","[0, 0, 1, 0]"
121,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.13793350756168365, 0.13793350756168365, 0.13793350756168365, 0.13793350756168365]","[1, 0, 0, 0]"
122,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.13725735247135162, 0.13725735247135162, 0.13725735247135162]","[0, 1, 0, 0]"
123,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.136498361825943, 0.136498361825943]","[0, 0, 1, 0]"
124,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.1357460916042328, 0.1357460916042328, 0.1357460916042328, 0.1357460916042328]","[1, 0, 0, 0]"
125,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.13508881628513336, 0.13508881628513336, 0.13508881628513336]","[0, 1, 0, 0]"
126,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.13442841172218323, 0.13442841172218323]","[0, 0, 1, 0]"
127,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.13376441597938538, 0.13376441597938538, 0.13376441597938538, 0.13376441597938538]","[1, 0, 0, 0]"
128,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.13318759202957153, 0.13318759202957153, 0.13318759202957153]","[0, 1, 0, 0]"
129,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.1325990855693817, 0.1325990855693817]","[0, 0, 1, 0]"
130,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.13199925422668457, 0.13199925422668457, 0.13199925422668457, 0.13199925422668457]","[1, 0, 0, 0]"
131,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.13130472600460052, 0.13130472600460052, 0.13130472600460052]","[0, 1, 0, 0]"
132,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.13061019778251648, 0.13061019778251648]","[0, 0, 1, 0]"
133,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.12991490960121155, 0.12991490960121155, 0.12991490960121155, 0.12991490960121155]","[1, 0, 0, 0]"
134,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.12913554906845093, 0.12913554906845093, 0.12913554906845093]","[0, 1, 0, 0]"
135,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.12828248739242554, 0.12828248739242554]","[0, 0, 1, 0]"
136,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.12744514644145966, 0.12744514644145966, 0.12744514644145966, 0.12744514644145966]","[1, 0, 0, 0]"
137,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.1267116516828537, 0.1267116516828537, 0.1267116516828537]","[0, 1, 0, 0]"
