iteration,action list,network estimate list,action chosen
104,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.11546768993139267, -0.11546768993139267, -0.11546768993139267]","[0, 1, 0, 0]"
105,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.1164521723985672, -0.1164521723985672]","[0, 0, 1, 0]"
106,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.11745193600654602, -0.11745193600654602, -0.11745193600654602, -0.11745193600654602]","[1, 0, 0, 0]"
107,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.1184479221701622, -0.1184479221701622, -0.1184479221701622]","[0, 1, 0, 0]"
108,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.11945188045501709, -0.11945188045501709]","[0, 0, 1, 0]"
109,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.12044866383075714, -0.12044866383075714, -0.12044866383075714, -0.12044866383075714]","[1, 0, 0, 0]"
110,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.12144654244184494, -0.12144654244184494, -0.12144654244184494]","[0, 1, 0, 0]"
111,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.12244761735200882, -0.12244761735200882]","[0, 0, 1, 0]"
112,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.12345093488693237, -0.12345093488693237, -0.12345093488693237, -0.12345093488693237]","[1, 0, 0, 0]"
113,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.12444522976875305, -0.12444522976875305, -0.12444522976875305]","[0, 1, 0, 0]"
114,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.12543383240699768, -0.12543383240699768]","[0, 0, 1, 0]"
115,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.12643076479434967, -0.12643076479434967, -0.12643076479434967, -0.12643076479434967]","[1, 0, 0, 0]"
116,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.1274145543575287, -0.1274145543575287, -0.1274145543575287]","[0, 1, 0, 0]"
117,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.1284031867980957, -0.1284031867980957]","[0, 0, 1, 0]"
118,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.1293979287147522, -0.1293979287147522, -0.1293979287147522, -0.1293979287147522]","[1, 0, 0, 0]"
119,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.13039402663707733, -0.13039402663707733, -0.13039402663707733]","[0, 1, 0, 0]"
120,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.13139815628528595, -0.13139815628528595]","[0, 0, 1, 0]"
121,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.1323971450328827, -0.1323971450328827, -0.1323971450328827, -0.1323971450328827]","[1, 0, 0, 0]"
122,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.13338501751422882, -0.13338501751422882, -0.13338501751422882]","[0, 1, 0, 0]"
123,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.1343725621700287, -0.1343725621700287]","[0, 0, 1, 0]"
124,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.1353592574596405, -0.1353592574596405, -0.1353592574596405, -0.1353592574596405]","[1, 0, 0, 0]"
125,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.1363481879234314, -0.1363481879234314, -0.1363481879234314]","[0, 1, 0, 0]"
126,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.1373220682144165, -0.1373220682144165]","[0, 0, 1, 0]"
127,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.13830849528312683, -0.13830849528312683, -0.13830849528312683, -0.13830849528312683]","[1, 0, 0, 0]"
128,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.13929483294487, -0.13929483294487, -0.13929483294487]","[0, 1, 0, 0]"
129,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.14028096199035645, -0.14028096199035645]","[0, 0, 1, 0]"
130,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.14127130806446075, -0.14127130806446075, -0.14127130806446075, -0.14127130806446075]","[1, 0, 0, 0]"
131,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.1422489881515503, -0.1422489881515503, -0.1422489881515503]","[0, 1, 0, 0]"
132,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.14322739839553833, -0.14322739839553833]","[0, 0, 1, 0]"
133,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.14420853555202484, -0.14420853555202484, -0.14420853555202484, -0.14420853555202484]","[1, 0, 0, 0]"
134,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.14518526196479797, -0.14518526196479797, -0.14518526196479797]","[0, 1, 0, 0]"
135,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.14616310596466064, -0.14616310596466064]","[0, 0, 1, 0]"
136,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.14714622497558594, -0.14714622497558594, -0.14714622497558594, -0.14714622497558594]","[1, 0, 0, 0]"
137,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.14814409613609314, -0.14814409613609314, -0.14814409613609314]","[0, 1, 0, 0]"
138,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.14914073050022125, -0.14914073050022125]","[0, 0, 1, 0]"
139,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.15012326836585999, -0.15012326836585999, -0.15012326836585999, -0.15012326836585999]","[1, 0, 0, 0]"
140,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.15111589431762695, -0.15111589431762695, -0.15111589431762695]","[0, 1, 0, 0]"
